numero_uai,date_ouverture,date_fermeture,nature_uai,nature_uai_libe
0351218J,1971-03-18,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351258C,1971-03-18,2022-09-01,151,ECOLE DE NIVEAU ELEMENTAIRE
0351262G,1971-03-18,1995-08-31,101,ECOLE MATERNELLE
0351266L,1971-03-18,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351273U,1971-03-18,1994-08-31,101,ECOLE MATERNELLE
0351280B,1971-03-18,1986-07-07,151,ECOLE DE NIVEAU ELEMENTAIRE
0351282D,1971-03-18,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351287J,1971-03-18,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351291N,1971-03-18,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351308G,1971-03-18,2012-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351310J,1971-03-18,1995-08-31,101,ECOLE MATERNELLE
0351313M,1971-03-18,1994-08-31,101,ECOLE MATERNELLE
0351323Y,1971-03-18,1995-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351334K,1971-03-18,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351344W,1971-03-18,2012-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351363S,1971-03-18,1980-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351375E,1971-03-18,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351377G,1971-03-18,2008-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351401H,1971-03-18,1981-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351407P,1971-03-18,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351434U,1971-03-18,1995-08-31,101,ECOLE MATERNELLE
0351437X,1971-03-18,1984-06-30,151,ECOLE DE NIVEAU ELEMENTAIRE
0351456T,1971-03-18,1978-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351460X,1971-03-18,1989-08-31,101,ECOLE MATERNELLE
0351475N,1971-03-18,1985-06-30,151,ECOLE DE NIVEAU ELEMENTAIRE
0351483X,1971-03-18,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351484Y,1971-03-18,1988-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351485Z,1971-03-18,1993-08-31,101,ECOLE MATERNELLE
0351488C,1971-03-18,1992-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351499P,1971-03-18,1994-08-31,101,ECOLE MATERNELLE
0351508Z,1971-03-18,1991-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
0351509A,1971-03-18,1994-08-31,101,ECOLE MATERNELLE
0351535D,1971-03-18,1979-08-31,151,ECOLE DE NIVEAU ELEMENTAIRE
