Code INSEE,Type local,Valeur fonciere
02359,Maison,126709.09090909091
02360,Appartement,183500.0
02360,Maison,192997.35294117648
02361,Appartement,138819.60784313726
02361,Maison,89282.47272727273
02362,Maison,135000.0
02363,Appartement,167000.0
02363,Maison,137450.0
02364,Maison,158050.0
02366,Appartement,95000.0
02366,Maison,74293.33333333333
02368,Maison,224692.85714285713
02369,Maison,67500.0
02370,Maison,209583.33333333334
02371,Maison,102076.92307692308
02372,Maison,100750.0
02373,Maison,93428.57142857143
02374,Appartement,49875.0
02374,Maison,106388.88888888889
02376,Maison,40000.0
02377,Maison,290000.0
02378,Maison,110000.0
02379,Maison,77250.0
02381,Appartement,186832.0
02381,Maison,125952.32558139534
02382,Maison,169359.0909090909
02383,Maison,177952.9411764706
02385,Maison,158150.0
02386,Maison,30000.0
02387,Maison,161983.46153846153
02388,Maison,72000.0
02389,Maison,141428.57142857142
02390,Maison,149585.0
02391,Maison,158806.0
02392,Maison,141000.0
02393,Maison,241728.57142857142
02395,Maison,127445.6
02397,Maison,139488.88888888888
02398,Maison,159000.0
02399,Maison,202833.33333333334
02400,Maison,141256.0
02401,Maison,112000.0
02403,Maison,72383.33333333333
02404,Maison,65000.0
02405,Maison,107511.11111111111
02406,Maison,100000.0
02407,Maison,223633.33333333334
02408,Appartement,135639.66507177035
02408,Maison,158412.62333333332
02409,Maison,85233.33333333333
02410,Maison,141600.0
02411,Maison,149337.5
02414,Maison,74862.0
02415,Maison,181000.0
02416,Maison,49125.0
02417,Maison,78833.33333333333
02418,Maison,290666.6666666667
02419,Maison,78602.85714285714
02420,Maison,186260.0
02422,Maison,117142.85714285714
02423,Maison,111500.0
02424,Maison,151250.0
02425,Maison,146200.0
02426,Maison,83163.63636363637
02427,Maison,172666.66666666666
02429,Maison,221500.0
02430,Maison,112481.81818181818
02431,Maison,129833.33333333333
02432,Maison,138250.0
02433,Appartement,180000.0
02433,Maison,195200.0
02438,Maison,302590.9090909091
02439,Maison,154400.0
02441,Maison,197500.0
02442,Maison,143000.0
02443,Maison,175800.0
02444,Maison,56333.333333333336
02445,Maison,74285.71428571429
02447,Maison,22633.333333333332
02448,Maison,123475.0
02450,Maison,131721.25
02451,Maison,85333.33333333333
02452,Maison,83500.0
